"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000163001",330.31065703609,-1.1920812508064,0.160268847183472,-7.43800976768573,1.02213504348081e-13,4.61128923901773e-12,"CFAP36"
"ENSG00000198034",25175.2029214677,-1.13813319553352,0.15348448279923,-7.41529811207226,1.21351530914329e-13,5.40343356849984e-12,"RPS4X"
"ENSG00000125246",119.614642988603,-1.06619782535161,0.14418809414857,-7.39449280918444,1.41949036449471e-13,6.25276367209933e-12,"CLYBL"
"ENSG00000243836",41.6533438423301,-1.95628920920774,0.264875062392906,-7.38570551540204,1.51647099945636e-13,6.65141030039331e-12,"WDR86-AS1"
"ENSG00000166736",6.1588394647227,-2.45225386905025,0.334015167036104,-7.34174406153591,2.10828270061457e-13,9.05370690282745e-12,"HTR3A"
"ENSG00000139173",42.623287016224,-1.1221773445291,0.153066738724279,-7.33129453127303,2.27940089484439e-13,9.70731580258732e-12,"TMEM117"
"ENSG00000189007",213.124753963375,-1.19380202537283,0.163718396484685,-7.29180135528934,3.05837880313684e-13,1.27341463878276e-11,"ADAT2"
"ENSG00000110944",70.0927879984721,-1.76949592239998,0.24335096539765,-7.27137416327285,3.5584877359992e-13,1.47268301929144e-11,"IL23A"
"ENSG00000169508",1425.46774780221,-1.57398265353836,0.216954512275621,-7.25489706127319,4.01967419354032e-13,1.65023704341604e-11,"GPR183"
"ENSG00000187240",107.863295227112,-1.5491756449555,0.213860045279204,-7.24387597941907,4.3604017708519e-13,1.77000370747279e-11,"DYNC2H1"
"ENSG00000237489",90.9057155118497,-1.01875678600218,0.14153600962212,-7.19786285286766,6.11636171992654e-13,2.44261784095199e-11,"C10orf143"
"ENSG00000281448",71.4508066807075,-1.45464675000336,0.203225025409545,-7.15781310432566,8.19742066466241e-13,3.19902003770961e-11,"ZNF502"
"ENSG00000182983",36.8339507699412,-1.57444983208056,0.220248763739765,-7.1485070124655,8.77267697100164e-13,3.41054432166195e-11,"ZNF662"
"ENSG00000116106",327.280197761178,-1.45207901762748,0.206007952792994,-7.04865515112704,1.80655244354088e-12,6.71795326242094e-11,"EPHA4"
"ENSG00000256553",69.5949004196554,-2.36281569444218,0.337430254139255,-7.00238246410194,2.51645978160336e-12,9.03065907989022e-11,"TRAV1-2"
"ENSG00000280548",2624.01032019516,-1.01498589727563,0.144942943802806,-7.00265822292469,2.5115099393458e-12,9.03065907989022e-11,"FBL"
"ENSG00000176771",1.9389901399243,-4.39184799824174,0.627311390492198,-7.00106528401442,2.540235332628e-12,9.10007167065533e-11,"NCKAP5"
"ENSG00000171103",226.088323847854,-1.064268087194,0.152035367833702,-7.00013491833106,2.55716136890089e-12,9.14474763404679e-11,"TRMT61B"
"ENSG00000008283",479.628583855486,-1.01370953821304,0.145345889628355,-6.97446306053143,3.07041204124042e-12,1.07187666616568e-10,"CYB561"
"ENSG00000197457",557.653877338989,-1.43698458774105,0.206339207207509,-6.96418585293834,3.30308317329871e-12,1.1472485329662e-10,"STMN3"
"ENSG00000182173",579.708022390994,-1.16789693346023,0.168484516125563,-6.93177604872523,4.15589520630742e-12,1.4123851142363e-10,"TSEN54"
"ENSG00000174080",174.244749018686,-1.38036385147418,0.200387249019654,-6.88848146889223,5.6391077913834e-12,1.87001559989866e-10,"CTSF"
"ENSG00000185187",1498.37424466521,-1.0061007911621,0.146494985190621,-6.86781728298041,6.51916434716452e-12,2.14110218486794e-10,"SIGIRR"
"ENSG00000233927",4878.24345772906,-1.07279695197694,0.156593434284695,-6.85084248185362,7.34163213229828e-12,2.39209020285217e-10,"RPS28"
"ENSG00000171858",1995.68977582152,-1.01322393408559,0.149419547241297,-6.78106682018877,1.1929168313307e-11,3.78469919578443e-10,"RPS21"
"ENSG00000173114",342.012377175175,-2.85851982201468,0.42285587058781,-6.76003343181938,1.37959902497414e-11,4.31692518073845e-10,"LRRN3"
"ENSG00000196368",14.2052659390644,-1.63674378531759,0.242696884416479,-6.74398350540365,1.54102041878175e-11,4.76393465908628e-10,"NUDT11"
"ENSG00000169442",7531.68196108963,-1.08186342134626,0.160623166669737,-6.73541335149194,1.634645551057e-11,4.9932097063314e-10,"CD52"
"ENSG00000119514",147.557977793347,-1.28765891791324,0.191271027529166,-6.73211690524792,1.67212202363708e-11,5.08498500432568e-10,"GALNT12"
"ENSG00000082196",61.3588206442887,-1.17865560828624,0.175349470440749,-6.72175174138617,1.79552689844372e-11,5.42809729666482e-10,"C1QTNF3"
"ENSG00000269893",479.245006188766,-1.2922493776887,0.193043449802294,-6.69408560099897,2.17024357415611e-11,6.45631736908732e-10,"SNHG8"
"ENSG00000091129",54.7886978679153,-2.78021300288176,0.415658910088991,-6.68868857469345,2.25179349311663e-11,6.6699228042143e-10,"NRCAM"
"ENSG00000162576",8.31803231866098,-3.05717999632463,0.459657313095618,-6.65099827464003,2.91111695890144e-11,8.51232162612107e-10,"MXRA8"
"ENSG00000085465",59.1189850950095,-1.22408547274362,0.184580257339039,-6.63172481385809,3.31786716755917e-11,9.56542968377626e-10,"OVGP1"
